AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6
Hartlepool,E06000001,8.0,7.2,7.7,7.7,7.9,7.8
Middlesbrough,E06000002,9.7,9.7,9.1,10.2,10.2,10.1
Redcar and Cleveland,E06000003,10.6,10.2,9.4,10.7,12.0,11.6
Stockton-on-Tees,E06000004,9.5,9.3,9.8,9.3,9.9,10.7
Darlington,E06000005,10.9,11.8,11.5,11.2,9.9,10.9
Halton,E06000006,9.4,9.6,9.2,8.2,8.3,7.9
Warrington,E06000007,8.8,8.5,9.1,9.8,11.5,10.8
Blackburn with Darwen,E06000008,8.7,9.1,8.6,9.4,10.0,10.0
Blackpool,E06000009,9.8,9.2,9.4,9.2,9.3,9.4
"Kingston upon Hull, City of",E06000010,8.2,7.8,8.3,8.3,9.8,9.7
East Riding of Yorkshire,E06000011,11.1,10.3,10.9,10.9,11.0,11.3
North East Lincolnshire,E06000012,9.0,9.1,9.4,8.2,8.8,9.1
North Lincolnshire,E06000013,8.8,9.6,10.0,10.8,10.7,10.4
York,E06000014,11.9,12.4,12.6,11.8,11.8,12.0
Derby ,E06000015,11.1,9.5,9.9,10.3,10.8,8.6
Leicester,E06000016,8.6,7.7,8.5,7.4,9.2,8.1
Rutland ,E06000017,13.4,12.7,11.7,11.3,13.3,15.3
Nottingham,E06000018,9.7,9.5,9.1,7.5,7.7,7.1
"Herefordshire, County of",E06000019,12.6,12.9,11.8,11.8,12.9,13.1
Telford and Wrekin,E06000020,9.5,9.4,9.2,9.1,8.7,10.1
Stoke-on-Trent,E06000021,8.9,9.0,9.6,9.7,10.3,10.8
Bath and North East Somerset,E06000022,14.1,13.9,13.7,14.0,13.5,12.5
"Bristol, City of",E06000023,9.6,9.7,10.3,10.1,11.7,11.9
North Somerset,E06000024,10.8,11.2,12.1,13.6,13.3,13.0
South Gloucestershire,E06000025,12.9,11.6,10.4,10.9,11.4,12.3
Plymouth,E06000026,9.3,9.2,9.7,8.9,10.2,11.5
Torbay,E06000027,11.5,11.0,10.7,10.5,11.0,10.6
Bournemouth,E06000028,10.3,9.7,11.0,9.3,10.3,12.1
Poole,E06000029,12.8,12.5,11.3,12.1,12.4,11.9
Swindon,E06000030,10.6,11.7,11.8,11.6,11.2,10.2
Peterborough,E06000031,10.3,9.8,10.2,10.5,11.3,11.2
Luton,E06000032,8.1,8.2,8.1,8.1,8.8,9.1
Southend-on-Sea,E06000033,12.9,12.4,11.8,12.6,13.1,12.7
Thurrock,E06000034,10.6,10.5,11.0,10.7,10.4,9.1
Medway,E06000035,10.0,10.0,9.6,10.9,10.3,9.6
Bracknell Forest,E06000036,12.4,12.6,12.0,12.7,13.6,14.9
West Berkshire,E06000037,12.6,12.2,12.1,12.3,13.7,14.6
Reading,E06000038,11.1,11.7,9.9,9.5,12.0,12.3
Slough,E06000039,8.1,8.6,7.6,7.2,6.1,7.9
Windsor and Maidenhead,E06000040,12.8,13.7,14.4,12.9,12.7,13.3
Wokingham,E06000041,13.1,12.8,12.6,13.6,13.4,14.3
Milton Keynes,E06000042,10.5,10.9,11.1,10.8,10.4,11.8
Brighton and Hove,E06000043,11.1,12.0,10.1,10.8,11.1,10.9
Portsmouth,E06000044,10.3,10.2,11.0,10.9,9.9,10.1
Southampton,E06000045,11.4,11.5,10.6,10.8,10.2,10.4
Isle of Wight,E06000046,10.7,10.7,10.9,11.1,11.7,12.4
County Durham,E06000047,8.6,9.5,9.3,8.7,7.3,9.1
Cheshire East,E06000049,11.2,11.9,11.6,10.0,9.6,13.6
Cheshire West and Chester,E06000050,10.9,10.0,11.9,13.6,13.5,12.5
Shropshire,E06000051,11.3,12.0,11.9,12.5,11.6,12.4
Cornwall,E06000052,12.1,12.2,10.2,11.7,11.6,11.6
Wiltshire,E06000054,12.5,12.2,12.5,12.4,12.2,12.4
Bedford,E06000055,12.2,11.1,11.2,9.6,10.2,12.1
